food_category,mean_consumption,mean_co2_emmission,food_origin
Pork,16.12369231,57.07007692,Pig
Poultry,21.21923077,22.79353846,Chicken
Beef,12.12338462,374.102,Cow
Lamb & Goat,2.600153846,91.05676923,Sheep/Goat
Fish,17.28707692,27.60169231,Fish
Eggs,8.163769231,7.499615385,Chicken
Milk - inc. cheese,125.7746923,179.1538462,Cow
Wheat and Wheat Products,71.54953846,13.64446154,Plant
Rice,29.37515385,37.59161538,Plant
Soybeans,0.860538462,0.387307692,Plant
Nuts inc. Peanut Butter,4.16372093,7.369922481,Plant
